Team,Year,Off_Eff_FGperc,Off_ORRate,Off_TORate,Off_FTRate,Def_Eff_FGperc,Def_ORRate,Def_TORate,Def_FTRate,wins_82
Houston Rockets,2000-2001,0.492,0.275,0.152,0.244,0.475,0.281,0.141,0.206,45.0
Indiana Pacers,2000-2001,0.471,0.27,0.157,0.239,0.452,0.287,0.143,0.235,41.0
Los Angeles Clippers,2000-2001,0.476,0.283,0.162,0.221,0.466,0.289,0.134,0.217,31.0
Los Angeles Lakers,2000-2001,0.498,0.311,0.15,0.238,0.468,0.275,0.134,0.234,56.00000000000001
Vancouver Grizzlies,2000-2001,0.464,0.261,0.163,0.223,0.491,0.302,0.157,0.194,23.000000000000004
Miami Heat,2000-2001,0.469,0.243,0.149,0.227,0.46,0.273,0.167,0.214,50.0
Milwaukee Bucks,2000-2001,0.499,0.281,0.142,0.217,0.473,0.289,0.159,0.253,52.0
Minnesota Timberwolves,2000-2001,0.482,0.286,0.146,0.199,0.478,0.281,0.156,0.238,46.99999999999999
New Jersey Nets,2000-2001,0.452,0.257,0.15,0.249,0.488,0.3,0.166,0.258,26.0
Charlotte Hornets,2000-2001,0.457,0.298,0.151,0.246,0.456,0.255,0.154,0.222,46.00000000000001
New York Knicks,2000-2001,0.476,0.242,0.158,0.222,0.453,0.257,0.159,0.24,48.0
Seattle SuperSonics,2000-2001,0.491,0.291,0.159,0.219,0.488,0.302,0.155,0.2,44.0
Orlando Magic,2000-2001,0.474,0.291,0.157,0.215,0.464,0.302,0.171,0.29,43.0
Philadelphia 76ers,2000-2001,0.468,0.312,0.163,0.262,0.46,0.275,0.161,0.186,56.00000000000001
Phoenix Suns,2000-2001,0.46,0.273,0.157,0.221,0.46,0.263,0.18,0.252,51.0
Portland Trailblazers,2000-2001,0.497,0.3,0.165,0.226,0.47,0.276,0.159,0.223,50.0
Sacramento Kings,2000-2001,0.484,0.272,0.149,0.23,0.461,0.293,0.161,0.181,55.0
San Antonio Spurs,2000-2001,0.496,0.271,0.148,0.267,0.444,0.263,0.143,0.182,58.0
Toronto Raptors,2000-2001,0.468,0.308,0.138,0.213,0.476,0.268,0.145,0.212,46.99999999999999
Utah Jazz,2000-2001,0.497,0.302,0.168,0.273,0.473,0.268,0.172,0.301,53.0
Washington Wizards,2000-2001,0.46,0.297,0.174,0.264,0.503,0.282,0.155,0.236,19.0
Atlanta Hawks,2001-2002,0.471,0.275,0.158,0.225,0.495,0.291,0.155,0.218,33.0
Boston Celtics,2001-2002,0.476,0.241,0.142,0.223,0.464,0.271,0.168,0.245,49.0
Chicago Bulls,2001-2002,0.456,0.266,0.156,0.218,0.497,0.286,0.15,0.24,21.0
Cleveland Cavaliers,2001-2002,0.477,0.289,0.151,0.232,0.493,0.272,0.136,0.226,29.0
Dallas Mavericks,2001-2002,0.507,0.261,0.124,0.232,0.485,0.293,0.146,0.239,56.99999999999999
Denver Nuggets,2001-2002,0.455,0.306,0.152,0.19,0.492,0.301,0.151,0.245,27.0
Detroit Pistons,2001-2002,0.497,0.244,0.154,0.235,0.474,0.295,0.163,0.206,50.0
Golden State Warriors,2001-2002,0.452,0.353,0.17,0.242,0.488,0.306,0.145,0.232,21.0
Houston Rockets,2001-2002,0.465,0.29,0.146,0.212,0.491,0.302,0.129,0.178,28.000000000000004
Indiana Pacers,2001-2002,0.477,0.27,0.156,0.253,0.469,0.29,0.147,0.227,42.0
Los Angeles Clippers,2001-2002,0.476,0.313,0.155,0.225,0.477,0.301,0.136,0.194,39.0
Los Angeles Lakers,2001-2002,0.498,0.288,0.131,0.218,0.453,0.28,0.145,0.233,58.0
Memphis Grizzlies,2001-2002,0.462,0.278,0.172,0.204,0.486,0.32,0.154,0.197,23.000000000000004
Miami Heat,2001-2002,0.463,0.266,0.159,0.194,0.455,0.26,0.148,0.249,36.0
Milwaukee Bucks,2001-2002,0.507,0.257,0.148,0.201,0.477,0.291,0.132,0.218,41.0
Minnesota Timberwolves,2001-2002,0.49,0.313,0.143,0.203,0.482,0.263,0.139,0.218,50.0
New Jersey Nets,2001-2002,0.476,0.292,0.154,0.206,0.459,0.284,0.164,0.213,52.0
Charlotte Hornets,2001-2002,0.466,0.306,0.15,0.238,0.465,0.278,0.146,0.226,44.0
New York Knicks,2001-2002,0.468,0.256,0.156,0.216,0.479,0.281,0.143,0.236,30.0
Seattle SuperSonics,2001-2002,0.505,0.294,0.147,0.189,0.485,0.319,0.164,0.206,45.0
Orlando Magic,2001-2002,0.493,0.263,0.141,0.21,0.486,0.308,0.161,0.215,44.0
Philadelphia 76ers,2001-2002,0.452,0.317,0.16,0.255,0.46,0.279,0.156,0.208,43.0
Phoenix Suns,2001-2002,0.472,0.301,0.154,0.18,0.476,0.298,0.159,0.227,36.0
Portland Trailblazers,2001-2002,0.485,0.318,0.151,0.218,0.489,0.267,0.155,0.202,49.0
Sacramento Kings,2001-2002,0.497,0.279,0.139,0.231,0.467,0.283,0.152,0.185,61.0
San Antonio Spurs,2001-2002,0.492,0.272,0.152,0.262,0.453,0.281,0.151,0.189,58.0
Toronto Raptors,2001-2002,0.463,0.314,0.152,0.189,0.471,0.299,0.163,0.237,42.0
Utah Jazz,2001-2002,0.472,0.335,0.173,0.291,0.484,0.283,0.177,0.286,44.0
Washington Wizards,2001-2002,0.464,0.308,0.137,0.214,0.484,0.286,0.146,0.214,37.0
Atlanta Hawks,2002-2003,0.476,0.279,0.172,0.248,0.469,0.296,0.134,0.222,35.0
Boston Celtics,2002-2003,0.47,0.236,0.147,0.227,0.471,0.275,0.167,0.242,44.0
Chicago Bulls,2002-2003,0.471,0.277,0.171,0.217,0.47,0.305,0.15,0.263,30.0
Cleveland Cavaliers,2002-2003,0.444,0.31,0.183,0.223,0.484,0.268,0.143,0.252,17.0
Dallas Mavericks,2002-2003,0.498,0.254,0.119,0.213,0.473,0.291,0.165,0.221,60.0
Denver Nuggets,2002-2003,0.428,0.313,0.19,0.198,0.477,0.267,0.179,0.291,17.0
Detroit Pistons,2002-2003,0.473,0.259,0.144,0.248,0.461,0.26,0.152,0.225,50.0
Golden State Warriors,2002-2003,0.472,0.35,0.16,0.267,0.482,0.321,0.139,0.22,38.0
Houston Rockets,2002-2003,0.474,0.303,0.162,0.243,0.462,0.276,0.14,0.209,43.0
Indiana Pacers,2002-2003,0.469,0.29,0.151,0.263,0.458,0.277,0.159,0.228,48.0
Los Angeles Clippers,2002-2003,0.467,0.291,0.165,0.252,0.481,0.298,0.146,0.222,27.0
Los Angeles Lakers,2002-2003,0.486,0.302,0.15,0.228,0.477,0.273,0.148,0.241,50.0
Memphis Grizzlies,2002-2003,0.487,0.27,0.158,0.212,0.491,0.314,0.152,0.197,28.000000000000004
