Team,Year,Off_Eff_FGperc,Off_ORRate,Off_TORate,Off_FTRate,Def_Eff_FGperc,Def_ORRate,Def_TORate,Def_FTRate,wins_82
Phoenix Suns,2013-2014,0.519,0.264,0.155,0.222,0.496,0.263,0.153,0.237,48.0
Portland Trailblazers,2013-2014,0.504,0.28,0.14,0.22,0.488,0.253,0.122,0.194,54.0
Sacramento Kings,2013-2014,0.484,0.278,0.155,0.251,0.512,0.234,0.14,0.234,28.000000000000004
San Antonio Spurs,2013-2014,0.537,0.227,0.148,0.188,0.482,0.236,0.14,0.184,62.0
Toronto Raptors,2013-2014,0.498,0.272,0.145,0.239,0.493,0.251,0.154,0.237,48.0
Utah Jazz,2013-2014,0.484,0.255,0.153,0.202,0.518,0.255,0.133,0.227,25.0
Washington Wizards,2013-2014,0.506,0.252,0.149,0.181,0.504,0.243,0.163,0.22,44.0
Atlanta Hawks,2014-2015,0.527,0.214,0.144,0.201,0.492,0.266,0.164,0.185,60.0
Brooklyn Nets,2014-2015,0.491,0.239,0.143,0.2,0.506,0.263,0.139,0.185,38.0
Boston Celtics,2014-2015,0.489,0.247,0.138,0.176,0.494,0.25,0.151,0.208,40.0
Charlotte Hornets,2014-2015,0.456,0.221,0.12,0.202,0.487,0.207,0.129,0.188,33.0
Chicago Bulls,2014-2015,0.489,0.27,0.141,0.238,0.473,0.257,0.125,0.182,50.0
Cleveland Cavaliers,2014-2015,0.52,0.268,0.147,0.216,0.502,0.253,0.137,0.177,53.0
Dallas Mavericks,2014-2015,0.515,0.236,0.131,0.197,0.503,0.278,0.162,0.204,50.0
Denver Nuggets,2014-2015,0.479,0.266,0.143,0.204,0.504,0.253,0.142,0.239,30.0
Detroit Pistons,2014-2015,0.482,0.277,0.136,0.184,0.502,0.25,0.144,0.193,32.0
Golden State Warriors,2014-2015,0.54,0.241,0.146,0.184,0.469,0.256,0.16,0.217,67.0
Houston Rockets,2014-2015,0.512,0.268,0.167,0.223,0.486,0.271,0.162,0.208,56.00000000000001
Indiana Pacers,2014-2015,0.484,0.241,0.143,0.201,0.478,0.221,0.13,0.217,38.0
Los Angeles Clippers,2014-2015,0.533,0.228,0.125,0.215,0.493,0.243,0.144,0.231,56.00000000000001
Los Angeles Lakers,2014-2015,0.473,0.254,0.133,0.204,0.518,0.238,0.131,0.231,21.0
Memphis Grizzlies,2014-2015,0.489,0.247,0.142,0.214,0.492,0.247,0.16,0.183,55.0
Miami Heat,2014-2015,0.499,0.231,0.151,0.226,0.505,0.268,0.153,0.214,37.0
Milwaukee Bucks,2014-2015,0.499,0.254,0.168,0.195,0.487,0.267,0.175,0.221,41.0
Minnesota Timberwolves,2014-2015,0.468,0.266,0.151,0.24,0.537,0.284,0.155,0.187,16.0
New Orleans Pelicans,2014-2015,0.501,0.271,0.139,0.198,0.496,0.249,0.13,0.195,45.0
New York Knicks,2014-2015,0.47,0.246,0.148,0.181,0.512,0.268,0.143,0.233,17.0
Oklahoma City Thunder,2014-2015,0.492,0.289,0.148,0.214,0.489,0.244,0.136,0.213,45.0
Orlando Magic,2014-2015,0.494,0.231,0.155,0.168,0.514,0.24,0.15,0.21,25.0
Philadelphia 76ers,2014-2015,0.459,0.256,0.176,0.194,0.497,0.27,0.166,0.225,18.0
Phoenix Suns,2014-2015,0.501,0.245,0.15,0.191,0.497,0.265,0.154,0.221,39.0
Portland Trailblazers,2014-2015,0.508,0.242,0.14,0.181,0.476,0.238,0.123,0.182,51.0
Sacramento Kings,2014-2015,0.49,0.265,0.167,0.276,0.507,0.248,0.134,0.2,29.0
San Antonio Spurs,2014-2015,0.517,0.234,0.142,0.2,0.484,0.227,0.143,0.191,55.0
Toronto Raptors,2014-2015,0.508,0.256,0.134,0.232,0.506,0.267,0.151,0.208,49.0
Utah Jazz,2014-2015,0.494,0.29,0.158,0.214,0.492,0.237,0.139,0.198,38.0
Washington Wizards,2014-2015,0.499,0.249,0.152,0.192,0.481,0.227,0.141,0.21,46.00000000000001
